protein_annotation	regex_label	manual_label	note
L-threonine 3-dehydrogenase, putative	proper	proper	
Diadenosine tetraphosphatase related serine threonine protein phosphatase	proper	proper	
Bacterial toxin YdaT domain-containing protein	proper	proper	
Suh protein	proper	proper	
Putative von Willebrand factor type A domain protein	proper	proper	
Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82)	proper	proper	
SNF2 family N-domain-containing protein	proper	proper	
Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	proper	proper	
Cell surface protein	proper	low	
Peptide chain release factor H	proper	proper	
HARP domain-containing protein	proper	proper	
Exodeoxyribonuclease X (EC 3.1.11.-)	proper	proper	
T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon) (Chaperonin containing T-complex polypeptide 1 subunit 5)	proper	proper	
Carboxypeptidase regulatory-like domain	proper	proper	
Type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein	proper	proper	
Excision repair helicase ercc-6-related protein	proper	proper	
PRC-barrel domain-containing protein	proper	proper	
Uncharacterized protein CA_P0160	uninformative	uninformative	
Gp19 phage tail fiber protein	proper	proper	
Kelch-like family member 3	proper	proper	
Transcription factor AP-2 C-terminal domain-containing protein	proper	proper	
DNA ligase IV (Polydeoxyribonucleotide synthase [ATP] 4)	proper	proper	
Putative sulfite reductase, iron-sulfur binding subunit	proper	proper	
Putative replication factor C subunit 5	proper	proper	
tRNA nuclease CdiA C-terminal domain-containing protein	proper	proper	
RuBisCO large subunit-binding protein subunit alpha-like isoform X3	proper	proper	
HTH-type transcriptional regulator CynR	proper	proper	
Gp3	uninformative	uninformative	
Putative quinone oxidoreductase	proper	proper	
DUF1565 domain-containing protein	low informative	low	
Type VI secretion protein VgrG	proper	proper	
Putative Tail fiber protein	proper	proper	
DUF1016 family protein	low informative	low	
Endonuclease domain-containing 1 protein	proper	proper	
Glycosyl hydrolase family 71	proper	proper	
RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	proper	proper	
ATP-dependent DNA helicase (EC 3.6.4.12)	proper	proper	
Calcineurin-like phosphoesterase, putative	proper	proper	
DNA topoisomerase VI subunit B (EC 5.6.2.2)	proper	proper	
LigA protein	proper	proper	
NADPH dependent preQ0 reductase	proper	proper	
Chromatin-remodeling ATPase INO80 (dINO80) (EC 3.6.4.-)	proper	proper	
VrlC	proper	uninformative	in training data labeled as proper, but is actually a protein of unknown function
Sialic acid-induced transmembrane protein YjhT(NanM), possible mutarotase	proper	proper	
Putative thyroid hormone receptor-associated protein complex subunit	proper	proper	
Alginate lyase 2, CBM32 domain protein, PL7-3 family (EC 4.2.2.3)	proper	proper	
Bacterial SH3 domain	proper	proper	
Ferroptosis suppressor protein 1 (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (p53-responsive gene 3 protein)	proper	proper	
Thioredoxin-like fold domain-containing protein	proper	proper	
Queuosine Biosynthesis QueE Radical SAM	proper	proper	
Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	proper	proper	
Uncharacterized protein YcbR (ORF17)	proper	uninformative	
Actin-related protein 2/3 complex subunit 1 (Arp2/3 complex 41 kDa subunit) (p41-ARC)	proper	proper	
4'-phosphopantetheinyl transferase domain-containing protein	proper	proper	
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	proper	proper	
Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	proper	proper	
CYFA0S07e02366g1_1	proper	uninformative	
Recombination enhancement, RecA-dependent nuclease	proper	proper	
Putative GTP cyclohydrolase I	proper	proper	
ATP-dependent metalloendopeptidase	proper	proper	
Ferredoxin-NAD(+) reductase	proper	proper	
Putative repressor protein	proper	proper	
Putative SNF2 family N-terminal domain protein	proper	proper	
Solute-binding protein like protein	proper	proper	
Nitrogen metabolite repression protein nmrA (Negative-acting nitrogen regulatory protein nmrA) (Nitrogen metabolite regulation protein)	proper	proper	
Protein phoH	proper	proper	
ATP-dependent helicase brm-like	proper	proper	
Integrase core domain-containing protein	proper	proper	
D-ala D-ala ligase C-terminus	proper	proper	
Cell-adhesion protein	proper	proper	
SSU rRNA (Adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	proper	proper	
Roadblock/LC7 domain-containing protein	proper	proper	
Ectodermal-neural cortex 1	proper	proper	
Bacterial Ig-like domain	proper	proper	
Armadillo-type fold	proper	low	protein fold, not function
NAD-dependent epimerase/dehydratase	proper	proper	
Exosporium leader peptide	proper	proper	
Phage tail collar domain-containing protein	proper	proper	
Ferredoxin reductase (EC 1.18.1.3)	proper	proper	
Methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor	proper	proper	
DnaT DNA-binding domain-containing protein	proper	proper	
VCP-like ATPase	proper	proper	
Gp20	uninformative	uninformative	
Recombinase D (EC 3.1.11.5)	proper	proper	
Lipopolysaccharide biosynthetic protein LpxO1	proper	proper	
Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	proper	proper	
AmmeMemoRadiSam system radical SAM enzyme	proper	proper	
Uncharacterized protein LOC111316407	uninformative	uninformative	
BoNT/A3 (Neurotoxin type A)	proper	proper	
ExeA2	proper	proper	
2OGFe(II) oxygenase family oxidoreductase	proper	proper	
Peptidyl-tRNA hydrolase domain-containing protein	proper	proper	
Chromatin-remodeling complex ATPase (EC 3.6.1.-)	proper	proper	
Chromosome undetermined scaffold_167, whole genome shotgun sequence	uninformative	uninformative	
Ribonucleoside-diphosphate reductase large subunit (Trinotate prediction)	proper	proper	
DNA annealing helicase and endonuclease ZRANB3 isoform X3	proper	proper	
Fumagillin dodecapentaenoate synthase af370 (EC 2.3.1.-) (Fumagillin biosynthesis polyketide synthase) (Fma-PKS)	proper	proper	
Ribosylglycohydrolase	proper	proper	
TPR_REGION domain-containing protein	proper	uninformative	TPR = translated protein region
3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit) (KAR beta subunit) (Carbonyl reductase family member 4) (CBR4) (Quinone reductase CBR4) (EC 1.6.5.10) (Short chain dehydrogenase/reductase family 45C member 1)	proper	proper	
Uncharacterized protein LOC116300872	uninformative	uninformative	
Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (Nucleoside diphosphate-linked moiety X motif 1)	proper	proper	
Sulfatase-like hydrolase/transferase	proper	proper	
KATNIP domain-containing protein	proper	proper	
Short-chain fatty acid transporter	proper	proper	
Transcription regulator	proper	proper	
Transglutaminase	proper	proper	
Glutamine amidotransferase, class I	proper	proper	
Bacteriophage Mu F family protein	proper	proper	minor head protein
Dephospho-CoA kinase, CoaE	proper	proper	
Putative dTDP-glucose-4,6-dehydratase-related protein	proper	proper	
Chromo domain-containing protein 1 (EC 3.6.4.-) (ATP-dependent helicase CHD1)	proper	proper	
Aspartyl/asparaginyl beta-hydroxylase family protein	proper	proper	
Loader and inhibitor of G40P protein	proper	proper	
Putative DNA binding, helix-turn-helix domain containing protein	proper	proper	
ANTXR cell adhesion molecule 1c	proper	proper	
Thiamine pyrophosphate enzyme N-terminal TPP-binding domain-containing protein	proper	proper	
Superfamily II DNA/RNA helicases SNF2 family	proper	proper	
Ferredoxin--NAD(+) reductase (EC 1.18.1.3)	proper	proper	
Recombinase B	proper	proper	
RNA methyltransferase	proper	proper	
AAA family ATPase (DUF2075 domain-containing protein)	low informative	proper	
Blue (type 1) copper domain-containing protein	proper	proper	
Putative DNA helicase (EC 3.6.1.-)	proper	proper	
ATP-dependent helicase C23E6.02	proper	proper	
Putative TerX protein	proper	proper	
Phage major tail protein, TP901-1 family	proper	proper	
Lytic transglycosylase	proper	proper	
Type-4 uracil-DNA glycosylase (EC 3.2.2.27) (TTUDGA) (TthUDG)	proper	proper	
"tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)]"	proper	proper	
DUF3991 domain-containing protein	low informative	low	
Epidermal surface antigen (Flotillin-like protein)	proper	proper	
Genome polyprotein	proper	uninformative	the only thing we know here is that there is multiple proteins in here
Uncharacterized ATPase putative transposase-like protein	proper	proper	
Tropinone reductase 1 (EC 1.1.1.206) (Tropine dehydrogenase) (Tropinone reductase I) (TR-I)	proper	proper	
DUF559 domain-containing protein	low informative	low	
Putative Phage portal protein, lambda family	proper	proper	
Prophage minor tail protein Z-like protein	proper	proper	
Putative tail fiber assembly-like protein	proper	proper	
Platelet-activating factor acetylhydrolase IB gamma subunit (EC 3.1.1.47)	proper	proper	
Acyl-CoA thioesterase	proper	proper	
UTRA domain-containing protein	proper	proper	
Enterochelin esterase-like enzyme	proper	proper	
DNA (Cytosine-5)-methyltransferase 3A-like	proper	proper	
Probable chromosome partitioning protein ParB	proper	proper	
Phage protein D	proper	uninformative	
"RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: Ubiquitinyl hydrolase (EC 3.4.19.12) (EC 3.4.22.-); cap-snatching endonuclease (EC 3.1.-.-); RNA-directed RNA polymerase (EC 2.7.7.48)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (RdRp) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (RdRp) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];RNA-directed RNA polymerase L (Protein L) (EC 2.7.7.48) (Large structural protein) (Replicase) (Transcriptase) [Includes: cap-snatching endonuclease (EC 3.1.-.-)];Large structural protein (Protein L) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];Large structural protein (Protein L) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)];L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)"	proper	proper	
